Image_Path,Username,Follower_Count,Post_ID,Post_Likes,Post_Comments,Labels
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_1.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Sky', 'Cloud', 'Leg', 'Flash photography', 'Happy', 'Travel', 'Thigh', 'Waist', 'Leisure', 'Fun']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_2.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Smile', 'Cloud', 'Sky', 'Daytime', 'Photograph', 'Travel', 'Happy', 'Cap', 'City', 'Leisure']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_3.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Sky', 'Flash photography', 'People in nature', 'Wood', 'Fence', 'Jacket', 'Eyewear', 'Sunglasses', 'Leisure', 'Fashion design']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_4.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Face', 'Smile', 'Skin', 'Head', 'Sky', 'Hairstyle', 'Cloud', 'Mouth', 'Photograph', 'Eye']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_5.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Cloud', 'Sky', 'Smile', 'Building', 'Flash photography', 'Travel', 'Happy', 'Leisure', 'Real estate', 'City']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_6.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Sky', 'Cloud', 'Water', 'Gas', 'Landscape', 'Building', 'Roof', 'City', 'Optical instrument', 'Urban design']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_7.jpg,aashnashroff,969148,3000403601659402518,25980,65,"['Cloud', 'Smile', 'Sky', 'Travel', 'Happy', 'Fun', 'Jacket', 'Recreation', 'Leisure', 'Fence']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_1.jpg,aashnashroff,969148,3001141559987517310,32578,110,"['Clothing', 'Footwear', 'Plant', 'Christmas tree', 'Sky', 'Leg', 'Human body', 'Sleeve', 'Standing', 'Waist']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_2.jpg,aashnashroff,969148,3001141559987517310,32578,110,"['Cloud', 'Sky', 'Daytime', 'Window', 'Building', 'Sleeve', 'Waist', 'Cool', 'Happy', 'Travel']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_3.jpg,aashnashroff,969148,3001141559987517310,32578,110,"['Christmas tree', 'Head', 'Sky', 'Photograph', 'Green', 'Plant', 'White', 'Blue', 'Human body', 'Standing']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_4.jpg,aashnashroff,969148,3001141559987517310,32578,110,"['Sky', 'Christmas tree', 'Standing', 'Road surface', 'People in nature', 'Travel', 'Waist', 'Tree', 'Luggage and bags', 'Leisure']"
./data/posts/aashnashroff_969148_3003120692652957440_11151_65\2022-12-28_09-31-45_UTC_1.jpg,aashnashroff,969148,3003120692652957440,11151,65,"['Outerwear', 'Shoulder', 'Sky', 'Neck', 'Sleeve', 'Waist', 'Collar', 'Overcoat', 'Fashion design', 'Travel']"
./data/posts/aashnashroff_969148_3003120692652957440_11151_65\2022-12-28_09-31-45_UTC_2.jpg,aashnashroff,969148,3003120692652957440,11151,65,"['Cloud', 'Sky', 'Azure', 'Fashion', 'Sleeve', 'Overcoat', 'Standing', 'Waist', 'Collar', 'Travel']"
