Image_Path,Labels
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_1.jpg,"['Sky', 'Cloud', 'Leg', 'Flash photography', 'Happy', 'Travel', 'Thigh', 'Waist', 'Leisure', 'Fun']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_2.jpg,"['Smile', 'Cloud', 'Sky', 'Daytime', 'Photograph', 'Travel', 'Happy', 'Cap', 'City', 'Leisure']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_3.jpg,"['Sky', 'Flash photography', 'People in nature', 'Wood', 'Fence', 'Jacket', 'Eyewear', 'Sunglasses', 'Leisure', 'Fashion design']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_4.jpg,"['Face', 'Smile', 'Skin', 'Head', 'Sky', 'Hairstyle', 'Cloud', 'Mouth', 'Photograph', 'Eye']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_5.jpg,"['Cloud', 'Sky', 'Smile', 'Building', 'Flash photography', 'Travel', 'Happy', 'Leisure', 'Real estate', 'City']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_6.jpg,"['Sky', 'Cloud', 'Water', 'Gas', 'Landscape', 'Building', 'Roof', 'City', 'Optical instrument', 'Urban design']"
./data/posts/aashnashroff_969148_3000403601659402518_25980_65\2022-12-24_15-33-23_UTC_7.jpg,"['Cloud', 'Smile', 'Sky', 'Travel', 'Happy', 'Fun', 'Jacket', 'Recreation', 'Leisure', 'Fence']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_1.jpg,"['Clothing', 'Footwear', 'Plant', 'Christmas tree', 'Sky', 'Leg', 'Human body', 'Sleeve', 'Standing', 'Waist']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_2.jpg,"['Cloud', 'Sky', 'Daytime', 'Window', 'Building', 'Sleeve', 'Waist', 'Cool', 'Happy', 'Travel']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_3.jpg,"['Christmas tree', 'Head', 'Sky', 'Photograph', 'Green', 'Plant', 'White', 'Blue', 'Human body', 'Standing']"
./data/posts/aashnashroff_969148_3001141559987517310_32578_110\2022-12-25_15-59-34_UTC_4.jpg,"['Sky', 'Christmas tree', 'Standing', 'Road surface', 'People in nature', 'Travel', 'Waist', 'Tree', 'Luggage and bags', 'Leisure']"
